City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Bellavista,PE,-7.0561,-76.5911,89.82,45,7,2.26,clear sky
329,Peterhead,GB,57.5058,-1.7981,48.45,85,94,8.3,overcast clouds
330,Moundou,TD,8.5667,16.0833,79.95,53,32,3.91,scattered clouds
331,Okhotsk,RU,59.3833,143.3,38.59,81,100,2.15,overcast clouds
332,Matadi,CD,-5.8167,13.45,77.52,80,52,3.62,broken clouds
333,General Roca,AR,-39.0333,-67.5833,45.97,33,0,0.56,clear sky
334,Mae Sot,TH,16.7167,98.5667,74.48,94,100,1.72,light rain
335,Bud,US,39.447,-86.1758,89.92,51,49,15.41,scattered clouds
336,Opuwo,NA,-18.0607,13.84,65.91,34,0,8.99,clear sky
337,Lata,PT,40.1629,-8.3327,66.07,81,100,2.06,overcast clouds
338,Port Hedland,AU,-20.3167,118.5667,57.25,94,100,16.11,overcast clouds
339,Matara,LK,5.9485,80.5353,76.75,92,100,13.29,heavy intensity rain
340,Veraval,IN,20.9,70.3667,81.18,82,12,13.42,few clouds
341,Tura,IN,25.5198,90.2201,73.22,90,0,3.96,clear sky
342,Luangwa,ZM,-15.6167,30.4167,62.26,52,0,2.06,clear sky
343,West Richland,US,46.3043,-119.3614,61.99,49,100,6.91,overcast clouds
